yourlist:M201812188471C63D39733769F8E060B506551E1201F3EBJ	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
131072	Q86XK7	VSIG1_HUMAN	reviewed	V-set and immunoglobulin domain-containing protein 1 (Cell surface A33 antigen) (Glycoprotein A34)	VSIG1 GPA34	Homo sapiens (Human)	387
131079	Q5VW00	DC122_HUMAN	reviewed	DDB1- and CUL4-associated factor 12-like protein 2 (WD repeat-containing protein 40C)	DCAF12L2 WDR40C	Homo sapiens (Human)	463
131082	Q6ZR62	RTL4_HUMAN	reviewed	Retrotransposon Gag-like protein 4 (Mammalian retrotransposon-derived protein 4) (Zinc finger CCHC domain-containing protein 16)	RTL4 MAR3 MART4 ZCCHC16	Homo sapiens (Human)	310
131091	Q5GFL6	VWA2_HUMAN	reviewed	von Willebrand factor A domain-containing protein 2 (A domain-containing protein similar to matrilin and collagen) (AMACO) (Colon cancer secreted protein 2) (CCSP-2)	VWA2 AMACO	Homo sapiens (Human)	755
131092	Q8WY41	NANO1_HUMAN	reviewed	Nanos homolog 1 (NOS-1) (EC_Rep1a)	NANOS1 NOS1	Homo sapiens (Human)	292
131098	A6NHT5	HMX3_HUMAN	reviewed	Homeobox protein HMX3 (Homeobox protein H6 family member 3) (Homeobox protein Nkx-5.1)	HMX3 NKX-5.1 NKX5-1	Homo sapiens (Human)	357
131110	Q6ZRI0	OTOG_HUMAN	reviewed	Otogelin	OTOG OTGN	Homo sapiens (Human)	2925
131112	P59894	DCDC1_HUMAN	reviewed	Doublecortin domain-containing protein 1	DCDC1	Homo sapiens (Human)	354
131113	Q8IXP5	CK053_HUMAN	reviewed	Uncharacterized protein C11orf53	C11orf53	Homo sapiens (Human)	236
131121	Q6MZM0	HPHL1_HUMAN	reviewed	Hephaestin-like protein 1 (EC 1.-.-.-)	HEPHL1	Homo sapiens (Human)	1159
131131	Q6XYQ8	SYT10_HUMAN	reviewed	Synaptotagmin-10 (Synaptotagmin X) (SytX)	SYT10	Homo sapiens (Human)	523
131135	P0C7M7	ACSM4_HUMAN	reviewed	Acyl-coenzyme A synthetase ACSM4, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 4)	ACSM4	Homo sapiens (Human)	580
131143	Q75WM6	H1FNT_HUMAN	reviewed	Testis-specific H1 histone (Haploid germ cell-specific nuclear protein 1) (Histone H1t2)	H1FNT HANP1	Homo sapiens (Human)	255
131147	Q5SZK8	FREM2_HUMAN	reviewed	FRAS1-related extracellular matrix protein 2 (ECM3 homolog)	FREM2	Homo sapiens (Human)	3169
131150	Q6P3R8	NEK5_HUMAN	reviewed	Serine/threonine-protein kinase Nek5 (EC 2.7.11.1) (Never in mitosis A-related kinase 5) (NimA-related protein kinase 5)	NEK5	Homo sapiens (Human)	708
131163	Q9NYA3	GOG6A_HUMAN	reviewed	Golgin subfamily A member 6A (Golgin linked to PML) (Golgin-like protein)	GOLGA6A GLP GOLGA6	Homo sapiens (Human)	693
131165	Q6NX45	ZN774_HUMAN	reviewed	Zinc finger protein 774	ZNF774	Homo sapiens (Human)	483
131167	Q68DA7	FMN1_HUMAN	reviewed	Formin-1 (Limb deformity protein homolog)	FMN1 FMN LD	Homo sapiens (Human)	1419
131169	A6NNT2	CP096_HUMAN	reviewed	Uncharacterized protein C16orf96	C16orf96	Homo sapiens (Human)	1141
131170	Q63HK3	ZKSC2_HUMAN	reviewed	Zinc finger protein with KRAB and SCAN domains 2 (Zinc finger protein 694)	ZKSCAN2 ZNF694	Homo sapiens (Human)	967
131172	P0C7T5	ATX1L_HUMAN	reviewed	Ataxin-1-like (Brother of ataxin-1) (Brother of ATXN1)	ATXN1L BOAT BOAT1	Homo sapiens (Human)	689
131173	Q7Z443	PK1L3_HUMAN	reviewed	Polycystic kidney disease protein 1-like 3 (PC1-like 3 protein) (Polycystin-1L3)	PKD1L3	Homo sapiens (Human)	1732
131180	Q496F6	CLM2_HUMAN	reviewed	CMRF35-like molecule 2 (CLM-2) (CD300 antigen-like family member E) (CMRF35-A5) (Immune receptor expressed on myeloid cells 2) (IREM-2) (Polymeric immunoglobulin receptor 2) (PIgR-2) (PIgR2) (Poly-Ig receptor 2) (CD antigen CD300e)	CD300E CD300LE CLM2 CMRF35A5 IREM2	Homo sapiens (Human)	205
131181	Q2TAL5	SMTL2_HUMAN	reviewed	Smoothelin-like protein 2	SMTNL2	Homo sapiens (Human)	461
131183	Q9H009	NACA2_HUMAN	reviewed	Nascent polypeptide-associated complex subunit alpha-2 (Alpha-NAC-like) (Hom s 2.01) (Nascent polypeptide-associated complex subunit alpha-like) (NAC-alpha-like)	NACA2 NACAL	Homo sapiens (Human)	215
131185	Q7Z3Y8	K1C27_HUMAN	reviewed	Keratin, type I cytoskeletal 27 (Cytokeratin-27) (CK-27) (Keratin-25C) (K25C) (Keratin-27) (K27) (Type I inner root sheath-specific keratin-K25irs3)	KRT27 KRT25C	Homo sapiens (Human)	459
131188	Q6IEE8	SN12L_HUMAN	reviewed	Schlafen family member 12-like	SLFN12L SLFN5	Homo sapiens (Human)	588
131192	Q6ZMT1	STAC2_HUMAN	reviewed	SH3 and cysteine-rich domain-containing protein 2 (24b2/STAC2) (Src homology 3 and cysteine-rich domain-containing protein 2)	STAC2	Homo sapiens (Human)	411
131204	Q6ZVX7	FBX50_HUMAN	reviewed	F-box only protein 50 (NCC receptor protein 1 homolog) (NCCRP-1) (Non-specific cytotoxic cell receptor protein 1 homolog)	NCCRP1 FBXO50	Homo sapiens (Human)	275
131207	Q494X3	ZN404_HUMAN	reviewed	Zinc finger protein 404	ZNF404	Homo sapiens (Human)	552
131208	Q2VY69	ZN284_HUMAN	reviewed	Zinc finger protein 284	ZNF284 ZNF284L	Homo sapiens (Human)	593
131210	Q86XU0	ZN677_HUMAN	reviewed	Zinc finger protein 677	ZNF677	Homo sapiens (Human)	584
131211	A6NLU0	RFPLA_HUMAN	reviewed	Ret finger protein-like 4A (RING finger protein 210)	RFPL4A RFPL4 RNF210	Homo sapiens (Human)	287
131214	P10073	ZSC22_HUMAN	reviewed	Zinc finger and SCAN domain-containing protein 22 (Krueppel-related zinc finger protein 2) (Protein HKR2) (Zinc finger protein 50)	ZSCAN22 HKR2 ZNF50	Homo sapiens (Human)	491
131219	P60323	NANO3_HUMAN	reviewed	Nanos homolog 3 (NOS-3)	NANOS3 NOS3	Homo sapiens (Human)	173
131220	A6NDB9	PALM3_HUMAN	reviewed	Paralemmin-3	PALM3	Homo sapiens (Human)	673
131222	Q7Z3Z2	RD3_HUMAN	reviewed	Protein RD3 (Retinal degeneration protein 3)	RD3 C1orf36	Homo sapiens (Human)	195
131227	O60812	HNRC1_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein C-like 1 (hnRNP C-like-1) (hnRNP core protein C-like 1)	HNRNPCL1 HNRPCL1	Homo sapiens (Human)	293
131230	Q5T9S5	CCD18_HUMAN	reviewed	Coiled-coil domain-containing protein 18 (Sarcoma antigen NY-SAR-24)	CCDC18	Homo sapiens (Human)	1454
131235	Q7Z3T1	OR2W3_HUMAN	reviewed	Olfactory receptor 2W3 (Olfactory receptor 2W8) (Olfactory receptor OR1-49)	OR2W3 OR2W3P OR2W8P	Homo sapiens (Human)	314
131240	A2RUH7	MBPHL_HUMAN	reviewed	Myosin-binding protein H-like	MYBPHL	Homo sapiens (Human)	354
131252	Q6UVM3	KCNT2_HUMAN	reviewed	Potassium channel subfamily T member 2 (Sequence like an intermediate conductance potassium channel subunit) (Sodium and chloride-activated ATP-sensitive potassium channel Slo2.1)	KCNT2 SLICK	Homo sapiens (Human)	1135
131253	Q9NY43	BARH2_HUMAN	reviewed	BarH-like 2 homeobox protein	BARHL2	Homo sapiens (Human)	387
131262	Q5JR98	TC1D4_HUMAN	reviewed	Tctex1 domain-containing protein 4 (Protein N22.1) (Tctex-2-beta)	TCTEX1D4	Homo sapiens (Human)	221
131268	Q2I0M5	RSPO4_HUMAN	reviewed	R-spondin-4 (Roof plate-specific spondin-4) (hRspo4)	RSPO4 C20orf182	Homo sapiens (Human)	234
131288	O14513	NCKP5_HUMAN	reviewed	Nck-associated protein 5 (NAP-5) (Peripheral clock protein)	NCKAP5 ERIH NAP5	Homo sapiens (Human)	1909
131301	Q5MAI5	CDKL4_HUMAN	reviewed	Cyclin-dependent kinase-like 4 (EC 2.7.11.22)	CDKL4	Homo sapiens (Human)	379
131307	Q8TEJ3	SH3R3_HUMAN	reviewed	E3 ubiquitin-protein ligase SH3RF3 (EC 2.3.2.27) (Plenty of SH3s 2) (SH3 domain-containing RING finger protein 3) (SH3 multiple domains protein 4)	SH3RF3 POSH2 SH3MD4	Homo sapiens (Human)	882
131313	A6NIV6	LRIQ4_HUMAN	reviewed	Leucine-rich repeat and IQ domain-containing protein 4 (Leucine-rich repeat-containing protein 64)	LRRIQ4 LRRC64	Homo sapiens (Human)	560
131314	Q7Z3H4	SAMD7_HUMAN	reviewed	Sterile alpha motif domain-containing protein 7 (SAM domain-containing protein 7)	SAMD7	Homo sapiens (Human)	446
131320	Q86SP6	GP149_HUMAN	reviewed	Probable G-protein coupled receptor 149 (G-protein coupled receptor PGR10)	GPR149 PGR10	Homo sapiens (Human)	731
